Sat 75: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 76: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 77: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 0: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 1: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 2: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 78: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 150: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 151: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 152: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 153: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 154: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 155: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 225: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 226: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 227: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 3: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 79: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 80: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 156: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 157: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 158: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 159: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 160: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 81: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 82: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 83: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 84: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 85: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 86: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 161: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 4: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 87: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 88: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 89: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 90: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 5: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
Sat 162: tureAnomoly 0.09, x 10215.18, y 901.62, z 0.00
